externalid,segid,PROJ_GRP,year,LIN_FORECAST
3612,0080_101.5,Since 1981,2055,75186
3613,0065_008.4,Since 1981,1981,392
3613,0065_008.4,Since 1981,2027,631
3613,0065_008.4,Since 1981,2032,657
3613,0065_008.4,Since 1981,2036,678
3613,0065_008.4,Since 1981,2046,730
3613,0065_008.4,Since 1981,2055,777
3614,0080_138.9,Since 1981,1981,17584
3614,0080_138.9,Since 1981,2027,65666
3614,0080_138.9,Since 1981,2032,70892
3614,0080_138.9,Since 1981,2036,75073
3614,0080_138.9,Since 1981,2046,85526
3614,0080_138.9,Since 1981,2055,94933
3615,0190_015.75,Since 1981,1981,5384
3615,0190_015.75,Since 1981,2027,1392
3615,0190_015.75,Since 1981,2032,958
3615,0190_015.75,Since 1981,2036,611
3615,0190_015.75,Since 1981,2046,-257
3615,0190_015.75,Since 1981,2055,-1038
3616,1828_004.5,Since 1981,1981,348
3616,1828_004.5,Since 1981,2027,535
3616,1828_004.5,Since 1981,2032,556
3616,1828_004.5,Since 1981,2036,572
3616,1828_004.5,Since 1981,2046,613
3616,1828_004.5,Since 1981,2055,650
3617,0006_140.3,Since 1981,1981,1665
3617,0006_140.3,Since 1981,2027,1242
3617,0006_140.3,Since 1981,2032,1196
3617,0006_140.3,Since 1981,2036,1160
3617,0006_140.3,Since 1981,2046,1068
3617,0006_140.3,Since 1981,2055,985
3618,0073_015.5,Since 1981,1981,250
3618,0073_015.5,Since 1981,2027,2267
3618,0073_015.5,Since 1981,2032,2486
3618,0073_015.5,Since 1981,2036,2662
3618,0073_015.5,Since 1981,2046,3100
3618,0073_015.5,Since 1981,2055,3495
3620,0189_014.3,Since 1981,1981,4106
3620,0189_014.3,Since 1981,2027,13606
3620,0189_014.3,Since 1981,2032,14639
3620,0189_014.3,Since 1981,2036,15465
3620,0189_014.3,Since 1981,2046,17530
3620,0189_014.3,Since 1981,2055,19389
3623,0006_216.2,Since 1981,1981,3127
3623,0006_216.2,Since 1981,2027,10297
3623,0006_216.2,Since 1981,2032,11076
3623,0006_216.2,Since 1981,2036,11700
3623,0006_216.2,Since 1981,2046,13259
3623,0006_216.2,Since 1981,2055,14662
3624,0096_006.2,Since 1981,1981,263
3624,0096_006.2,Since 1981,2027,1286
3624,0096_006.2,Since 1981,2032,1397
3624,0096_006.2,Since 1981,2036,1486
3624,0096_006.2,Since 1981,2046,1708
3624,0096_006.2,Since 1981,2055,1908
3626,0089_296.0,Since 1981,1981,1194
3626,0089_296.0,Since 1981,2027,3446
3626,0089_296.0,Since 1981,2032,3691
3626,0089_296.0,Since 1981,2036,3887
3626,0089_296.0,Since 1981,2046,4377
3626,0089_296.0,Since 1981,2055,4818
3628,0015_233.2,Since 1981,1981,5116
3628,0015_233.2,Since 1981,2027,36695
3628,0015_233.2,Since 1981,2032,40127
3628,0015_233.2,Since 1981,2036,42873
3628,0015_233.2,Since 1981,2046,49738
3628,0015_233.2,Since 1981,2055,55916
3629,1826_004.9,Since 1981,1981,-4977
3629,1826_004.9,Since 1981,2027,4896
3629,1826_004.9,Since 1981,2032,5970
3629,1826_004.9,Since 1981,2036,6828
3629,1826_004.9,Since 1981,2046,8975
3629,1826_004.9,Since 1981,2055,10907
3601,1082_000.0,Since 1982,1982,-6
3601,1082_000.0,Since 1982,2027,890
3601,1082_000.0,Since 1982,2032,989
3601,1082_000.0,Since 1982,2036,1069
3601,1082_000.0,Since 1982,2046,1268
3601,1082_000.0,Since 1982,2055,1447
3602,0013_006.5,Since 1982,1982,4033
3602,0013_006.5,Since 1982,2027,10549
3602,0013_006.5,Since 1982,2032,11273
3602,0013_006.5,Since 1982,2036,11852
3602,0013_006.5,Since 1982,2046,13300
3602,0013_006.5,Since 1982,2055,14603
3603,1112_000.0,Since 1982,1982,-466
3603,1112_000.0,Since 1982,2027,1719
3603,1112_000.0,Since 1982,2032,1962
3603,1112_000.0,Since 1982,2036,2156
3603,1112_000.0,Since 1982,2046,2642
3603,1112_000.0,Since 1982,2055,3079
3604,0015_368.1,Since 1982,1982,10521
3604,0015_368.1,Since 1982,2027,32262
3604,0015_368.1,Since 1982,2032,34678
3604,0015_368.1,Since 1982,2036,36610
3604,0015_368.1,Since 1982,2046,41442
3604,0015_368.1,Since 1982,2055,45790
3605,0038_003.2,Since 1982,1982,2151
3605,0038_003.2,Since 1982,2027,3729
3605,0038_003.2,Since 1982,2032,3904
3605,0038_003.2,Since 1982,2036,4044
3605,0038_003.2,Since 1982,2046,4395
3605,0038_003.2,Since 1982,2055,4711
3606,0091_010.1,Since 1982,1982,6819
3606,0091_010.1,Since 1982,2027,22834
3606,0091_010.1,Since 1982,2032,24613
3606,0091_010.1,Since 1982,2036,26037
3606,0091_010.1,Since 1982,2046,29595
3606,0091_010.1,Since 1982,2055,32798
3607,3462_002.8,Since 1982,1982,4561
3607,3462_002.8,Since 1982,2027,1228
3607,3462_002.8,Since 1982,2032,858
3607,3462_002.8,Since 1982,2036,562
3607,3462_002.8,Since 1982,2046,-179
3607,3462_002.8,Since 1982,2055,-846
3608,0039_008.7,Since 1982,1982,6110
3608,0039_008.7,Since 1982,2027,9269
3608,0039_008.7,Since 1982,2032,9620
3608,0039_008.7,Since 1982,2036,9901
3608,0039_008.7,Since 1982,2046,10603
3608,0039_008.7,Since 1982,2055,11235
3609,0084_087.8,Since 1982,1982,1782
3609,0084_087.8,Since 1982,2027,25453
3609,0084_087.8,Since 1982,2032,28083
3609,0084_087.8,Since 1982,2036,30188
3609,0084_087.8,Since 1982,2046,35448
3609,0084_087.8,Since 1982,2055,40182
3612,0080_099.5,Since 1982,1982,14603
3612,0080_099.5,Since 1982,2027,51924
3612,0080_099.5,Since 1982,2032,56071
3612,0080_099.5,Since 1982,2036,59388
3612,0080_099.5,Since 1982,2046,67682
3612,0080_099.5,Since 1982,2055,75146
3612,0080_101.5,Since 1982,1982,14603
3612,0080_101.5,Since 1982,2027,51924
3612,0080_101.5,Since 1982,2032,56071
3612,0080_101.5,Since 1982,2036,59388
3612,0080_101.5,Since 1982,2046,67682
3612,0080_101.5,Since 1982,2055,75146
3613,0065_008.4,Since 1982,1982,421
3613,0065_008.4,Since 1982,2027,616
3613,0065_008.4,Since 1982,2032,638
3613,0065_008.4,Since 1982,2036,655
3613,0065_008.4,Since 1982,2046,699
3613,0065_008.4,Since 1982,2055,738
3614,0080_138.9,Since 1982,1982,18628
3614,0080_138.9,Since 1982,2027,65667
3614,0080_138.9,Since 1982,2032,70894
3614,0080_138.9,Since 1982,2036,75075
3614,0080_138.9,Since 1982,2046,85528
3614,0080_138.9,Since 1982,2055,94936
3615,0190_015.75,Since 1982,1982,5298
3615,0190_015.75,Since 1982,2027,1392
3615,0190_015.75,Since 1982,2032,958
3615,0190_015.75,Since 1982,2036,611
3615,0190_015.75,Since 1982,2046,-257
3615,0190_015.75,Since 1982,2055,-1038
3616,1828_004.5,Since 1982,1982,352
3616,1828_004.5,Since 1982,2027,535
3616,1828_004.5,Since 1982,2032,556
3616,1828_004.5,Since 1982,2036,572
3616,1828_004.5,Since 1982,2046,613
3616,1828_004.5,Since 1982,2055,650
3617,0006_140.3,Since 1982,1982,1712
3617,0006_140.3,Since 1982,2027,1206
3617,0006_140.3,Since 1982,2032,1150
3617,0006_140.3,Since 1982,2036,1105
3617,0006_140.3,Since 1982,2046,993
3617,0006_140.3,Since 1982,2055,892
3618,0073_015.5,Since 1982,1982,279
3618,0073_015.5,Since 1982,2027,2277
3618,0073_015.5,Since 1982,2032,2499
3618,0073_015.5,Since 1982,2036,2677
3618,0073_015.5,Since 1982,2046,3121
3618,0073_015.5,Since 1982,2055,3520
3620,0189_014.3,Since 1982,1982,4277
3620,0189_014.3,Since 1982,2027,13629
3620,0189_014.3,Since 1982,2032,14669
3620,0189_014.3,Since 1982,2036,15500
3620,0189_014.3,Since 1982,2046,17578
3620,0189_014.3,Since 1982,2055,19449
3623,0006_216.2,Since 1982,1982,3171
3623,0006_216.2,Since 1982,2027,10369
3623,0006_216.2,Since 1982,2032,11169
3623,0006_216.2,Since 1982,2036,11809
3623,0006_216.2,Since 1982,2046,13409
3623,0006_216.2,Since 1982,2055,14848
3624,0096_006.2,Since 1982,1982,261
3624,0096_006.2,Since 1982,2027,1301
3624,0096_006.2,Since 1982,2032,1416
3624,0096_006.2,Since 1982,2036,1509
3624,0096_006.2,Since 1982,2046,1740
3624,0096_006.2,Since 1982,2055,1948
3626,0089_296.0,Since 1982,1982,1187
3626,0089_296.0,Since 1982,2027,3483
3626,0089_296.0,Since 1982,2032,3738
3626,0089_296.0,Since 1982,2036,3942
3626,0089_296.0,Since 1982,2046,4452
3626,0089_296.0,Since 1982,2055,4912
3628,0015_233.2,Since 1982,1982,5803
3628,0015_233.2,Since 1982,2027,36695
3628,0015_233.2,Since 1982,2032,40127
3628,0015_233.2,Since 1982,2036,42873
3628,0015_233.2,Since 1982,2046,49738
3628,0015_233.2,Since 1982,2055,55916
3629,1826_004.9,Since 1982,1982,-4763
3629,1826_004.9,Since 1982,2027,4896
3629,1826_004.9,Since 1982,2032,5970
3629,1826_004.9,Since 1982,2036,6828
3629,1826_004.9,Since 1982,2046,8975
3629,1826_004.9,Since 1982,2055,10907
3601,1082_000.0,Since 1983,1983,14
3601,1082_000.0,Since 1983,2027,890
3601,1082_000.0,Since 1983,2032,989
3601,1082_000.0,Since 1983,2036,1069
3601,1082_000.0,Since 1983,2046,1268
3601,1082_000.0,Since 1983,2055,1447
3602,0013_006.5,Since 1983,1983,4207
3602,0013_006.5,Since 1983,2027,10530
3602,0013_006.5,Since 1983,2032,11248
3602,0013_006.5,Since 1983,2036,11823
3602,0013_006.5,Since 1983,2046,13260
3602,0013_006.5,Since 1983,2055,14554
3603,1112_000.0,Since 1983,1983,-418
3603,1112_000.0,Since 1983,2027,1719
3603,1112_000.0,Since 1983,2032,1962
3603,1112_000.0,Since 1983,2036,2156
3603,1112_000.0,Since 1983,2046,2642
3603,1112_000.0,Since 1983,2055,3079
3604,0015_368.1,Since 1983,1983,11252
3604,0015_368.1,Since 1983,2027,32104
3604,0015_368.1,Since 1983,2032,34473
3604,0015_368.1,Since 1983,2036,36369
3604,0015_368.1,Since 1983,2046,41108
3604,0015_368.1,Since 1983,2055,45373
3605,0038_003.2,Since 1983,1983,2299
3605,0038_003.2,Since 1983,2027,3656
3605,0038_003.2,Since 1983,2032,3811
3605,0038_003.2,Since 1983,2036,3934
3605,0038_003.2,Since 1983,2046,4243
3605,0038_003.2,Since 1983,2055,4520
3606,0091_010.1,Since 1983,1983,7196
3606,0091_010.1,Since 1983,2027,22820
3606,0091_010.1,Since 1983,2032,24596
3606,0091_010.1,Since 1983,2036,26016
3606,0091_010.1,Since 1983,2046,29568
3606,0091_010.1,Since 1983,2055,32764
3607,3462_002.8,Since 1983,1983,4487
3607,3462_002.8,Since 1983,2027,1228
3607,3462_002.8,Since 1983,2032,858
3607,3462_002.8,Since 1983,2036,562
3607,3462_002.8,Since 1983,2046,-179
3607,3462_002.8,Since 1983,2055,-846
3608,0039_008.7,Since 1983,1983,6170
3608,0039_008.7,Since 1983,2027,9276
3608,0039_008.7,Since 1983,2032,9629
3608,0039_008.7,Since 1983,2036,9911
3608,0039_008.7,Since 1983,2046,10617
3608,0039_008.7,Since 1983,2055,11252
3609,0084_087.8,Since 1983,1983,2111
3609,0084_087.8,Since 1983,2027,25581
3609,0084_087.8,Since 1983,2032,28248
3609,0084_087.8,Since 1983,2036,30382
3609,0084_087.8,Since 1983,2046,35716
3609,0084_087.8,Since 1983,2055,40517
3612,0080_099.5,Since 1983,1983,15540
3612,0080_099.5,Since 1983,2027,51854
3612,0080_099.5,Since 1983,2032,55981
3612,0080_099.5,Since 1983,2036,59282
3612,0080_099.5,Since 1983,2046,67535
3612,0080_099.5,Since 1983,2055,74963
3612,0080_101.5,Since 1983,1983,15540
3612,0080_101.5,Since 1983,2027,51854
3612,0080_101.5,Since 1983,2032,55981
3612,0080_101.5,Since 1983,2036,59282
3612,0080_101.5,Since 1983,2046,67535
3612,0080_101.5,Since 1983,2055,74963
3613,0065_008.4,Since 1983,1983,452
3613,0065_008.4,Since 1983,2027,599
3613,0065_008.4,Since 1983,2032,616
3613,0065_008.4,Since 1983,2036,629
3613,0065_008.4,Since 1983,2046,663
3613,0065_008.4,Since 1983,2055,693
3614,0080_138.9,Since 1983,1983,19716
3614,0080_138.9,Since 1983,2027,65639
3614,0080_138.9,Since 1983,2032,70858
3614,0080_138.9,Since 1983,2036,75033
3614,0080_138.9,Since 1983,2046,85470
3614,0080_138.9,Since 1983,2055,94863
3615,0190_015.75,Since 1983,1983,5211
3615,0190_015.75,Since 1983,2027,1392
3615,0190_015.75,Since 1983,2032,958
3615,0190_015.75,Since 1983,2036,611
3615,0190_015.75,Since 1983,2046,-257
3615,0190_015.75,Since 1983,2055,-1038
3616,1828_004.5,Since 1983,1983,356
3616,1828_004.5,Since 1983,2027,535
3616,1828_004.5,Since 1983,2032,556
3616,1828_004.5,Since 1983,2036,572
3616,1828_004.5,Since 1983,2046,613
3616,1828_004.5,Since 1983,2055,650
3617,0006_140.3,Since 1983,1983,1769
3617,0006_140.3,Since 1983,2027,1162
3617,0006_140.3,Since 1983,2032,1093
3617,0006_140.3,Since 1983,2036,1038
3617,0006_140.3,Since 1983,2046,900
3617,0006_140.3,Since 1983,2055,775
3618,0073_015.5,Since 1983,1983,310
3618,0073_015.5,Since 1983,2027,2286
3618,0073_015.5,Since 1983,2032,2511
3618,0073_015.5,Since 1983,2036,2690
3618,0073_015.5,Since 1983,2046,3139
3618,0073_015.5,Since 1983,2055,3544
3620,0189_014.3,Since 1983,1983,4455
3620,0189_014.3,Since 1983,2027,13648
3620,0189_014.3,Since 1983,2032,14693
3620,0189_014.3,Since 1983,2036,15529
3620,0189_014.3,Since 1983,2046,17618
3620,0189_014.3,Since 1983,2055,19498
3623,0006_216.2,Since 1983,1983,3206
3623,0006_216.2,Since 1983,2027,10450
3623,0006_216.2,Since 1983,2032,11274
3623,0006_216.2,Since 1983,2036,11932
3623,0006_216.2,Since 1983,2046,13579
3623,0006_216.2,Since 1983,2055,15061
3624,0096_006.2,Since 1983,1983,258
3624,0096_006.2,Since 1983,2027,1318
3624,0096_006.2,Since 1983,2032,1438
3624,0096_006.2,Since 1983,2036,1535
3624,0096_006.2,Since 1983,2046,1776
3624,0096_006.2,Since 1983,2055,1992
3626,0089_296.0,Since 1983,1983,1189
3626,0089_296.0,Since 1983,2027,3514
3626,0089_296.0,Since 1983,2032,3779
3626,0089_296.0,Since 1983,2036,3990
3626,0089_296.0,Since 1983,2046,4519
3626,0089_296.0,Since 1983,2055,4994
3628,0015_233.2,Since 1983,1983,6489
3628,0015_233.2,Since 1983,2027,36695
3628,0015_233.2,Since 1983,2032,40127
3628,0015_233.2,Since 1983,2036,42873
3628,0015_233.2,Since 1983,2046,49738
3628,0015_233.2,Since 1983,2055,55916
3629,1826_004.9,Since 1983,1983,-4548
3629,1826_004.9,Since 1983,2027,4896
3629,1826_004.9,Since 1983,2032,5970
3629,1826_004.9,Since 1983,2036,6828
3629,1826_004.9,Since 1983,2046,8975
3629,1826_004.9,Since 1983,2055,10907
3601,1082_000.0,Since 1984,1984,34
3601,1082_000.0,Since 1984,2027,890
3601,1082_000.0,Since 1984,2032,989
3601,1082_000.0,Since 1984,2036,1069
3601,1082_000.0,Since 1984,2046,1268
3601,1082_000.0,Since 1984,2055,1447
3602,0013_006.5,Since 1984,1984,4394
3602,0013_006.5,Since 1984,2027,10502
3602,0013_006.5,Since 1984,2032,11212
3602,0013_006.5,Since 1984,2036,11780
3602,0013_006.5,Since 1984,2046,13200
3602,0013_006.5,Since 1984,2055,14479
3603,1112_000.0,Since 1984,1984,-369
3603,1112_000.0,Since 1984,2027,1719
3603,1112_000.0,Since 1984,2032,1962
3603,1112_000.0,Since 1984,2036,2156
3603,1112_000.0,Since 1984,2046,2642
3603,1112_000.0,Since 1984,2055,3079
3604,0015_368.1,Since 1984,1984,12038
3604,0015_368.1,Since 1984,2027,31902
3604,0015_368.1,Since 1984,2032,34212
3604,0015_368.1,Since 1984,2036,36060
3604,0015_368.1,Since 1984,2046,40680
3604,0015_368.1,Since 1984,2055,44838
3605,0038_003.2,Since 1984,1984,2460
3605,0038_003.2,Since 1984,2027,3572
3605,0038_003.2,Since 1984,2032,3701
3605,0038_003.2,Since 1984,2036,3804
3605,0038_003.2,Since 1984,2046,4063
3605,0038_003.2,Since 1984,2055,4296
3606,0091_010.1,Since 1984,1984,7628
3606,0091_010.1,Since 1984,2027,22770
3606,0091_010.1,Since 1984,2032,24530
3606,0091_010.1,Since 1984,2036,25939
3606,0091_010.1,Since 1984,2046,29460
3606,0091_010.1,Since 1984,2055,32629
3607,3462_002.8,Since 1984,1984,4413
3607,3462_002.8,Since 1984,2027,1228
3607,3462_002.8,Since 1984,2032,858
3607,3462_002.8,Since 1984,2036,562
3607,3462_002.8,Since 1984,2046,-179
3607,3462_002.8,Since 1984,2055,-846
3608,0039_008.7,Since 1984,1984,6227
3608,0039_008.7,Since 1984,2027,9285
3608,0039_008.7,Since 1984,2032,9641
3608,0039_008.7,Since 1984,2036,9925
3608,0039_008.7,Since 1984,2046,10636
3608,0039_008.7,Since 1984,2055,11276
3609,0084_087.8,Since 1984,1984,2475
3609,0084_087.8,Since 1984,2027,25692
3609,0084_087.8,Since 1984,2032,28391
3609,0084_087.8,Since 1984,2036,30551
3609,0084_087.8,Since 1984,2046,35950
3609,0084_087.8,Since 1984,2055,40809
3612,0080_099.5,Since 1984,1984,16564
3612,0080_099.5,Since 1984,2027,51724
3612,0080_099.5,Since 1984,2032,55812
3612,0080_099.5,Since 1984,2036,59083
3612,0080_099.5,Since 1984,2046,67260
3612,0080_099.5,Since 1984,2055,74619
3612,0080_101.5,Since 1984,1984,16564
3612,0080_101.5,Since 1984,2027,51724
3612,0080_101.5,Since 1984,2032,55812
3612,0080_101.5,Since 1984,2036,59083
3612,0080_101.5,Since 1984,2046,67260
3612,0080_101.5,Since 1984,2055,74619
3613,0065_008.4,Since 1984,1984,492
3613,0065_008.4,Since 1984,2027,575
3613,0065_008.4,Since 1984,2032,585
3613,0065_008.4,Since 1984,2036,592
3613,0065_008.4,Since 1984,2046,612
3613,0065_008.4,Since 1984,2055,629
3614,0080_138.9,Since 1984,1984,20905
3614,0080_138.9,Since 1984,2027,65544
3614,0080_138.9,Since 1984,2032,70735
3614,0080_138.9,Since 1984,2036,74887
3614,0080_138.9,Since 1984,2046,85268
3614,0080_138.9,Since 1984,2055,94611
3615,0190_015.75,Since 1984,1984,5124
3615,0190_015.75,Since 1984,2027,1392
3615,0190_015.75,Since 1984,2032,958
3615,0190_015.75,Since 1984,2036,611
3615,0190_015.75,Since 1984,2046,-257
3615,0190_015.75,Since 1984,2055,-1038
3616,1828_004.5,Since 1984,1984,360
3616,1828_004.5,Since 1984,2027,535
3616,1828_004.5,Since 1984,2032,556
3616,1828_004.5,Since 1984,2036,572
3616,1828_004.5,Since 1984,2046,613
3616,1828_004.5,Since 1984,2055,650
3617,0006_140.3,Since 1984,1984,1817
3617,0006_140.3,Since 1984,2027,1121
3617,0006_140.3,Since 1984,2032,1040
3617,0006_140.3,Since 1984,2036,976
3617,0006_140.3,Since 1984,2046,814
3617,0006_140.3,Since 1984,2055,668
3618,0073_015.5,Since 1984,1984,343
3618,0073_015.5,Since 1984,2027,2293
3618,0073_015.5,Since 1984,2032,2520
3618,0073_015.5,Since 1984,2036,2702
3618,0073_015.5,Since 1984,2046,3155
3618,0073_015.5,Since 1984,2055,3563
3620,0189_014.3,Since 1984,1984,4637
3620,0189_014.3,Since 1984,2027,13666
3620,0189_014.3,Since 1984,2032,14716
3620,0189_014.3,Since 1984,2036,15556
3620,0189_014.3,Since 1984,2046,17656
3620,0189_014.3,Since 1984,2055,19545
3623,0006_216.2,Since 1984,1984,3643
3623,0006_216.2,Since 1984,2027,10272
3623,0006_216.2,Since 1984,2032,11043
3623,0006_216.2,Since 1984,2036,11660
3623,0006_216.2,Since 1984,2046,13201
3623,0006_216.2,Since 1984,2055,14589
3624,0096_006.2,Since 1984,1984,270
3624,0096_006.2,Since 1984,2027,1326
3624,0096_006.2,Since 1984,2032,1449
3624,0096_006.2,Since 1984,2036,1547
3624,0096_006.2,Since 1984,2046,1793
3624,0096_006.2,Since 1984,2055,2014
3626,0089_296.0,Since 1984,1984,1319
3626,0089_296.0,Since 1984,2027,3464
3626,0089_296.0,Since 1984,2032,3714
3626,0089_296.0,Since 1984,2036,3913
3626,0089_296.0,Since 1984,2046,4412
3626,0089_296.0,Since 1984,2055,4861
3628,0015_233.2,Since 1984,1984,7176
3628,0015_233.2,Since 1984,2027,36695
3628,0015_233.2,Since 1984,2032,40127
3628,0015_233.2,Since 1984,2036,42873
3628,0015_233.2,Since 1984,2046,49738
3628,0015_233.2,Since 1984,2055,55916
3629,1826_004.9,Since 1984,1984,-4333
3629,1826_004.9,Since 1984,2027,4896
3629,1826_004.9,Since 1984,2032,5970
3629,1826_004.9,Since 1984,2036,6828
3629,1826_004.9,Since 1984,2046,8975
3629,1826_004.9,Since 1984,2055,10907
3601,1082_000.0,Since 1985,1985,54
3601,1082_000.0,Since 1985,2027,890
3601,1082_000.0,Since 1985,2032,989
3601,1082_000.0,Since 1985,2036,1069
3601,1082_000.0,Since 1985,2046,1268
3601,1082_000.0,Since 1985,2055,1447
3602,0013_006.5,Since 1985,1985,4592
3602,0013_006.5,Since 1985,2027,10465
3602,0013_006.5,Since 1985,2032,11164
3602,0013_006.5,Since 1985,2036,11723
3602,0013_006.5,Since 1985,2046,13122
3602,0013_006.5,Since 1985,2055,14380
3603,1112_000.0,Since 1985,1985,-320
3603,1112_000.0,Since 1985,2027,1719
3603,1112_000.0,Since 1985,2032,1962
3603,1112_000.0,Since 1985,2036,2156
3603,1112_000.0,Since 1985,2046,2642
3603,1112_000.0,Since 1985,2055,3079
3604,0015_368.1,Since 1985,1985,12801
3604,0015_368.1,Since 1985,2027,31706
3604,0015_368.1,Since 1985,2032,33956
3604,0015_368.1,Since 1985,2036,35757
3604,0015_368.1,Since 1985,2046,40258
3604,0015_368.1,Since 1985,2055,44309
3605,0038_003.2,Since 1985,1985,2637
3605,0038_003.2,Since 1985,2027,3474
3605,0038_003.2,Since 1985,2032,3573
3605,0038_003.2,Since 1985,2036,3653
3605,0038_003.2,Since 1985,2046,3852
3605,0038_003.2,Since 1985,2055,4031
3606,0091_010.1,Since 1985,1985,8078
3606,0091_010.1,Since 1985,2027,22706
3606,0091_010.1,Since 1985,2032,24447
3606,0091_010.1,Since 1985,2036,25840
3606,0091_010.1,Since 1985,2046,29323
3606,0091_010.1,Since 1985,2055,32458
3607,3462_002.8,Since 1985,1985,4339
3607,3462_002.8,Since 1985,2027,1228
3607,3462_002.8,Since 1985,2032,858
3607,3462_002.8,Since 1985,2036,562
3607,3462_002.8,Since 1985,2046,-179
3607,3462_002.8,Since 1985,2055,-846
3608,0039_008.7,Since 1985,1985,6356
3608,0039_008.7,Since 1985,2027,9247
3608,0039_008.7,Since 1985,2032,9591
3608,0039_008.7,Since 1985,2036,9867
3608,0039_008.7,Since 1985,2046,10555
3608,0039_008.7,Since 1985,2055,11175
3609,0084_087.8,Since 1985,1985,2850
3609,0084_087.8,Since 1985,2027,25800
3609,0084_087.8,Since 1985,2032,28532
3609,0084_087.8,Since 1985,2036,30718
3609,0084_087.8,Since 1985,2046,36182
3609,0084_087.8,Since 1985,2055,41100
3612,0080_099.5,Since 1985,1985,17669
3612,0080_099.5,Since 1985,2027,51535
3612,0080_099.5,Since 1985,2032,55566
3612,0080_099.5,Since 1985,2036,58792
3612,0080_099.5,Since 1985,2046,66855
3612,0080_099.5,Since 1985,2055,74112
3612,0080_101.5,Since 1985,1985,17669
3612,0080_101.5,Since 1985,2027,51535
3612,0080_101.5,Since 1985,2032,55566
3612,0080_101.5,Since 1985,2036,58792
3612,0080_101.5,Since 1985,2046,66855
3612,0080_101.5,Since 1985,2055,74112
3613,0065_008.4,Since 1985,1985,530
3613,0065_008.4,Since 1985,2027,552
3613,0065_008.4,Since 1985,2032,554
3613,0065_008.4,Since 1985,2036,556
3613,0065_008.4,Since 1985,2046,562
3613,0065_008.4,Since 1985,2055,566
3614,0080_138.9,Since 1985,1985,22139
3614,0080_138.9,Since 1985,2027,65415
3614,0080_138.9,Since 1985,2032,70567
3614,0080_138.9,Since 1985,2036,74689
3614,0080_138.9,Since 1985,2046,84992
3614,0080_138.9,Since 1985,2055,94266
3615,0190_015.75,Since 1985,1985,5037
3615,0190_015.75,Since 1985,2027,1392
3615,0190_015.75,Since 1985,2032,958
3615,0190_015.75,Since 1985,2036,611
3615,0190_015.75,Since 1985,2046,-257
3615,0190_015.75,Since 1985,2055,-1038
3616,1828_004.5,Since 1985,1985,364
3616,1828_004.5,Since 1985,2027,535
